Gateway,Seconds,VUs,RPS,P95_ms,Req_success_rate,Total_CPU,Total_RSS_KB
apollo,1,50,94.04691858431778,11.396962549999998,1,238.00,168504
apollo,1,50,72.92636860843041,178.6315728,1,234.00,163304
apollo,2,50,141.26595675500607,548.827638,1,235.00,165224
apollo,2,50,152.70130633487358,529.7018938999998,1,236.00,170600
apollo,2,50,178.5822023072304,488.4937332999998,1,236.00,170472
apollo,2,50,197.307446521185,459.00470444999996,1,237.00,175848
apollo,3,50,203.73486251873933,444.9591414000002,1,237.00,183112
apollo,3,50,216.9594594539381,404.43466159999963,1,238.00,192332
apollo,3,50,217.1067241334589,388.98251939999943,1,239.00,188264
apollo,4,50,228.24613051725248,356.38690319999927,1,239.00,186596
apollo,4,50,236.53743809058312,328.915971,1,240.00,183736
apollo,4,50,245.98105005196277,304.2783856999998,1,240.00,183736
apollo,4,50,244.59111285238166,286.525491,1,241.00,193436
apollo,5,50,250.12012176221867,260.2945415000005,1,242.00,193672
apollo,5,50,256.73637647087736,241.33825599999898,1,242.00,190876
apollo,5,50,259.17364849610493,233.95878,1,243.00,190980
apollo,5,50,259.0609010036848,233.45215845000007,1,243.00,190884
apollo,6,50,262.76134189680937,231.99166585000003,1,244.00,181380
apollo,6,50,267.10580342121176,224.4074141,1,244.00,184276
apollo,6,50,269.18238488703577,222.72219504999993,1,244.00,191188
apollo,7,50,273.83272910460624,217.72341959999991,1,245.00,184172
apollo,7,50,270.7959748111527,216.79527789999997,1,245.00,183852
apollo,7,50,276.01030759699546,216.894389,1,246.00,183516
apollo,7,50,279.3119349316549,215.573575,1,246.00,184540
apollo,8,50,277.23776575202857,213.85949329999994,1,247.00,181096
apollo,8,50,283.7123980069774,210.85094039999993,1,247.00,179728
apollo,8,50,283.3841144448274,209.58540914999995,1,247.00,179580
apollo,8,50,285.81471015208336,207.78579059999998,1,248.00,185340
apollo,9,50,285.2283286592795,206.6287405,1,248.00,186072
apollo,9,50,287.7888590408571,207.49004674999998,1,249.00,183436
apollo,9,50,287.2041282504282,207.465387,1,249.00,183124
apollo,9,50,291.02304156547916,205.81720694999998,1,249.00,181884
apollo,10,50,290.19244578592554,205.7489582,1,250.00,179584
apollo,10,50,289.7485618532386,204.77820724999998,1,250.00,178980
apollo,10,50,291.0705808965365,204.59959749999993,1,251.00,180872
apollo,11,50,291.5442645289679,204.1718605,1,251.00,180584
apollo,11,50,293.53135336942967,205.6655795999999,1,251.00,179984
apollo,11,50,295.0071307475336,204.62868324999994,1,252.00,180496
apollo,11,50,293.2832338447789,204.23242409999997,1,252.00,187588
apollo,12,50,295.2270034448461,203.42940109999984,1,252.00,181004
apollo,12,50,297.3795911676177,203.1240537,1,252.00,179832
apollo,12,50,296.34160154217653,203.0076465,1,253.00,180536
apollo,12,50,297.987035119684,202.49875475,1,253.00,178040
apollo,13,50,299.50183013211705,201.9457054,1,253.00,175968
apollo,13,50,298.61874335033883,201.9451327,1,254.00,175340
apollo,13,50,300.20115467016177,201.98292635,1,254.00,171888
apollo,14,50,300.07024405555086,201.94580085,1,254.00,177608
apollo,14,50,301.48735819808223,201.85689819999996,1,255.00,185896
apollo,14,50,302.06007467980294,202.03050084999998,1,255.00,185536
apollo,14,50,303.43566534812874,201.94580085,1,255.00,185632
apollo,15,50,302.7358949639816,201.60443569999993,1,255.00,188796
apollo,15,50,301.780264671535,201.97220359999997,1,255.00,185280
apollo,15,50,303.96119721567544,201.7342625,1,256.00,193680
apollo,15,50,303.28982495221254,201.1808684,1,256.00,192964
apollo,16,50,304.8444215029361,201.56794659999997,1,256.00,191860
apollo,16,50,305.1045448102857,201.793912,1,256.00,189228
apollo,16,50,304.4869554131595,201.53568739999997,1,257.00,189356
apollo,17,50,305.3217411650893,201.798457,1,257.00,188332
apollo,17,50,305.4946991111079,201.43316349999995,1,257.00,185908
apollo,17,50,306.73200140091706,201.54875945,1,257.00,188604
apollo,17,50,305.8734201314462,201.26901099999995,1,258.00,187960
apollo,18,50,306.17663682205483,201.1977296,1,258.00,193944
apollo,18,50,307.3695831079135,200.92336419999998,1,258.00,193804
apollo,18,50,306.5059563539763,200.73226739999998,1,258.00,185248
apollo,18,50,307.806176003758,200.32408900000001,1,258.00,185024
